"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"US-CA-90224","US","CA","90224","10.2500","","","",""
"US-CA-90230","US","CA","90230","10.2500","","","",""
"US-CA-90231","US","CA","90231","10.2500","","","",""
"US-CA-90232","US","CA","90232","10.2500","","","",""
"US-CA-90233","US","CA","90233","10.2500","","","",""
"US-CA-90239","US","CA","90239","10.0000","","","",""
"US-CA-90240","US","CA","90240","10.0000","","","",""
"US-CA-90241","US","CA","90241","10.5000","","","",""
"US-CA-90242","US","CA","90242","10.0000","","","",""
"US-CA-90245","US","CA","90245","9.5000","","","",""
"US-CA-90247","US","CA","90247","10.2500","","","",""
"US-CA-90248","US","CA","90248","10.2500","","","",""
"US-CA-90249","US","CA","90249","10.2500","","","",""
"US-CA-90250","US","CA","90250","10.2500","","","",""
"US-CA-90251","US","CA","90251","10.2500","","","",""
"US-CA-90254","US","CA","90254","9.5000","","","",""
"US-CA-90255","US","CA","90255","10.2500","","","",""
"US-CA-90260","US","CA","90260","10.2500","","","",""
"US-CA-90261","US","CA","90261","10.2500","","","",""
"US-CA-90262","US","CA","90262","10.2500","","","",""
"US-CA-90263","US","CA","90263","9.5000","","","",""
"US-CA-90264","US","CA","90264","9.5000","","","",""
"US-CA-90265","US","CA","90265","9.5000","","","",""
"US-CA-90266","US","CA","90266","9.5000","","","",""
"US-CA-90267","US","CA","90267","9.5000","","","",""
"US-CA-90270","US","CA","90270","10.0000","","","",""
"US-CA-90272","US","CA","90272","9.5000","","","",""
"US-CA-90274","US","CA","90274","9.5000","","","",""
"US-CA-90275","US","CA","90275","9.5000","","","",""
"US-CA-90277","US","CA","90277","9.5000","","","",""
"US-CA-90278","US","CA","90278","9.5000","","","",""
"US-CA-90280","US","CA","90280","10.2500","","","",""
"US-CA-90290","US","CA","90290","9.5000","","","",""
"US-CA-90291","US","CA","90291","10.2500","","","",""
"US-CA-90292","US","CA","90292","10.2500","","","",""
"US-CA-90293","US","CA","90293","9.5000","","","",""
"US-CA-90294","US","CA","90294","9.5000","","","",""
"US-CA-90295","US","CA","90295","9.5000","","","",""
"US-CA-90296","US","CA","90296","9.5000","","","",""
"US-CA-90301","US","CA","90301","10.0000","","","",""
"US-CA-90302","US","CA","90302","10.0000","","","",""
"US-CA-90303","US","CA","90303","10.2500","","","",""
"US-CA-90304","US","CA","90304","10.2500","","","",""
"US-CA-90305","US","CA","90305","10.0000","","","",""
"US-CA-90306","US","CA","90306","10.0000","","","",""
"US-CA-90307","US","CA","90307","10.0000","","","",""
"US-CA-90308","US","CA","90308","10.0000","","","",""
"US-CA-90309","US","CA","90309","10.0000","","","",""
"US-CA-90310","US","CA","90310","10.0000","","","",""
"US-CA-90311","US","CA","90311","9.5000","","","",""
"US-CA-90312","US","CA","90312","9.5000","","","",""
"US-CA-90401","US","CA","90401","10.2500","","","",""
"US-CA-90402","US","CA","90402","10.2500","","","",""
"US-CA-90403","US","CA","90403","10.2500","","","",""
"US-CA-90404","US","CA","90404","10.2500","","","",""
"US-CA-90405","US","CA","90405","10.2500","","","",""
"US-CA-90406","US","CA","90406","10.2500","","","",""
"US-CA-90407","US","CA","90407","10.2500","","","",""
"US-CA-90408","US","CA","90408","10.2500","","","",""
"US-CA-90409","US","CA","90409","10.2500","","","",""
"US-CA-90410","US","CA","90410","10.2500","","","",""
"US-CA-90411","US","CA","90411","10.2500","","","",""
"US-CA-90501","US","CA","90501","9.5000","","","",""
"US-CA-90502","US","CA","90502","9.5000","","","",""
"US-CA-90503","US","CA","90503","9.5000","","","",""
"US-CA-90504","US","CA","90504","10.2500","","","",""
"US-CA-90505","US","CA","90505","9.5000","","","",""
"US-CA-90506","US","CA","90506","9.5000","","","",""
"US-CA-90507","US","CA","90507","9.5000","","","",""
"US-CA-90508","US","CA","90508","9.5000","","","",""
"US-CA-90509","US","CA","90509","9.5000","","","",""
"US-CA-90510","US","CA","90510","9.5000","","","",""
"US-CA-90601","US","CA","90601","10.2500","","","",""
"US-CA-90602","US","CA","90602","10.2500","","","",""
"US-CA-90603","US","CA","90603","10.2500","","","",""
"US-CA-90604","US","CA","90604","10.2500","","","",""
"US-CA-90605","US","CA","90605","10.5000","","","",""
"US-CA-90606","US","CA","90606","10.5000","","","",""
"US-CA-90607","US","CA","90607","10.2500","","","",""
"US-CA-90608","US","CA","90608","10.2500","","","",""
"US-CA-90609","US","CA","90609","10.2500","","","",""
"US-CA-90610","US","CA","90610","9.5000","","","",""
"US-CA-90620","US","CA","90620","8.7500","","","",""
"US-CA-90621","US","CA","90621","7.7500","","","",""
"US-CA-90622","US","CA","90622","7.7500","","","",""
"US-CA-90623","US","CA","90623","9.5000","","","",""
"US-CA-90624","US","CA","90624","7.7500","","","",""
"US-CA-90630","US","CA","90630","10.2500","","","",""
"US-CA-90631","US","CA","90631","10.2500","","","",""
"US-CA-90632","US","CA","90632","8.2500","","","",""
"US-CA-90633","US","CA","90633","7.7500","","","",""
"US-CA-90637","US","CA","90637","9.5000","","","",""
"US-CA-90638","US","CA","90638","9.5000","","","",""
